d	d	0.222222
র	দল	0.002192
র	লক	0.002180
র	কম	0.002144
র	ভর	0.002061
রক	শ	0.407461
রক	র	0.216406
রক	ত	0.137469
রক	শন	0.036480
রক	স	0.031327
রক	ন	0.024114
রক	দ	0.015664
রক	হ	0.015458
রক	শক	0.015045
রক	ক	0.012572
রক	ম	0.010099
রক	ও	0.008656
রক	পর	0.005977
রক	বল	0.003916
রক	ড	0.003710
রক	হত	0.003298
রক	ই	0.003298
রক	কর	0.003092
রক	এই	0.002679
রক	অন	0.002679
রক	সহ	0.001855
রক	এক	0.001649
রক	এর	0.001443
রক	দল	0.001443
রক	আর	0.001443
রক	অপর	0.001443
রক	এ	0.001443
রক	আল	0.001443
রক	কম	0.001237
রক	ধর	0.001237
রক	অ	0.001031
রক	আন	0.001031
রক	ইন	0.000824
রক	রক	0.000824
রক	মন	0.000824
রক	আম	0.000824
রক	জন	0.000618
রক	বর	0.000618
রক	আউট	0.000618
রক	পদ	0.000618
শক	ত	0.765019
শক	র	0.073004
শক	ন	0.036502
শক	স	0.021293
শক	ও	0.011407
শক	হ	0.009125
শক	দ	0.009125
শক	ক	0.008365
শক	পর	0.006844
শক	শ	0.006084
শক	তর	0.006084
শক	অন	0.004563
শক	ই	0.003802
শক	ড	0.003802
শক	বল	0.003042
শক	ম	0.003042
শক	হল	0.002281
শক	মন	0.002281
শহর	র	0.648282
শহর	ও	0.037071
শহর	স	0.037071
শহর	হ	0.030741
শহর	ম	0.021700
শহর	পর	0.018987
শহর	দ	0.018987
শহর	ত	0.018987
শহর	ন	0.018083
শহর	জন	0.016275
শহর	ক	0.014467
শহর	চল	0.009042
শহর	অন	0.009042
শহর	এই	0.008137
শহর	ই	0.008137
শহর	গড	0.007233
শহর	দখল	0.006329
শহর	শ	0.004521
শহর	এর	0.004521
শহর	কর	0.003617
শহর	এস	0.003617
শহর	হল	0.003617
শহর	হত	0.003617
শহর	বল	0.003617
শহর	আল	0.003617
শহর	অত	0.002712
শহর	আস	0.002712
শহর	এক	0.002712
হব	র	0.398148
হব	ন	0.227778
হব	ত	0.100000
হব	স	0.055556
হব	ক	0.048148
হব	বল	0.035185
হব	ও	0.012963
হব	এর	0.011111
হব	দ	0.009259
হব	যখন	0.007407
হব	এমন	0.007407
হব	ম	0.005556
হব	এই	0.005556
হব	এ	0.005556
হব	হ	0.005556
