z	z	z	0.750000
би	се	требало	0.020134
би	се	након	0.020134
би	то	било	0.500000
би	требало	да	0.916667
број	жена	у	0.750000
број	један	у	0.600000
број	људи	који	0.266667
број	људи	је	0.200000
вероватно	да	је	0.533333
вероватно	да	су	0.200000
вероватно	зато	што	0.833333
вероватно	због	тога	1.000000
већ	била	у	0.750000
већ	био	у	0.857143
већ	га	је	1.000000
већ	да	се	0.350000
већ	да	је	0.250000
већ	две	године	0.750000
већ	и	за	0.233333
већ	и	да	0.166667
већ	и	као	0.100000
већ	их	је	0.500000
већ	неколико	година	0.750000
већ	са	година	0.500000
већ	су	се	0.250000
већ	су	га	0.125000
већ	је	био	0.119048
већ	је	то	0.119048
већ	је	била	0.095238
већ	је	у	0.095238
већ	је	и	0.071429
видимо	да	је	0.666667
врата	која	су	0.750000
време	била	је	0.500000
време	био	је	0.750000
време	да	се	0.692308
време	кад	се	0.500000
време	када	је	0.516129
време	када	су	0.225806
време	које	је	0.625000
време	није	било	0.500000
време	све	више	1.000000
време	је	био	0.450000
време	је	било	0.150000
где	га	је	1.000000
где	год	да	0.500000
где	му	је	1.000000
где	се	и	0.100000
где	се	у	0.100000
где	се	данас	0.080000
где	се	он	0.080000
где	се	она	0.060000
где	се	на	0.060000
где	се	могу	0.060000
где	су	се	0.352273
где	су	били	0.090909
где	су	га	0.068182
где	су	их	0.068182
где	су	му	0.045455
где	су	у	0.034091
где	је	и	0.154412
где	је	био	0.132353
где	је	била	0.073529
где	је	у	0.066176
где	је	требало	0.036765
где	је	на	0.036765
где	је	имао	0.029412
где	је	до	0.029412
где	је	поново	0.029412
где	је	било	0.029412
где	је	она	0.029412
где	је	са	0.029412
где	је	један	0.022059
где	је	он	0.022059
где	је	због	0.022059
где	ће	се	0.636364
данас	више	нема	0.666667
данас	има	око	0.900000
данас	се	на	0.206897
данас	се	у	0.103448
данас	се	не	0.103448
данас	су	у	0.454545
данас	је	то	0.222222
данас	је	у	0.194444
данас	је	ово	0.111111
данас	један	од	1.000000
даље	каже	да	1.000000
даље	постоји	али	1.000000
даље	треба	да	1.000000
део	који	се	0.714286
док	га	је	0.545455
док	им	је	0.600000
док	их	је	0.571429
док	му	је	0.454545
док	не	буде	1.000000
док	се	не	0.247934
док	се	у	0.214876
док	се	на	0.123967
док	се	није	0.049587
док	се	за	0.033058
док	се	други	0.033058
док	се	код	0.024793
док	су	се	0.257143
док	су	у	0.133333
док	су	други	0.095238
док	су	били	0.057143
док	су	на	0.057143
док	су	они	0.047619
док	су	неки	0.028571
док	су	код	0.028571
док	су	сви	0.028571
док	су	још	0.028571
док	су	за	0.028571
док	су	му	0.028571
док	је	био	0.193370
док	је	у	0.165746
док	је	код	0.082873
док	је	на	0.077348
док	је	за	0.049724
док	је	још	0.038674
док	је	он	0.033149
док	је	била	0.022099
док	је	од	0.022099
док	је	други	0.022099
док	је	по	0.022099
док	је	она	0.022099
док	је	једна	0.016575
док	је	са	0.016575
док	је	под	0.016575
док	јој	се	1.000000
дошао	је	до	0.343750
дошао	је	у	0.281250
дошао	је	на	0.187500
жена	била	је	1.000000
жена	која	је	0.533333
жена	која	се	0.200000
жена	које	су	0.700000
жена	који	су	1.000000
жена	је	била	0.500000
заједно	са	својим	0.450000
заједно	са	још	0.166667
заједно	са	њим	0.066667
због	које	је	0.666667
због	које	се	0.250000
због	тога	је	0.329588
због	тога	што	0.307116
због	тога	су	0.108614
због	тога	се	0.089888
због	тога	и	0.014981
због	тога	не	0.011236
због	тога	га	0.011236
зна	да	је	0.250000
зна	да	су	0.142857
зна	да	ли	0.107143
зна	се	да	0.314286
зна	се	тачно	0.200000
зна	шта	је	0.444444
зна	шта	се	0.333333
значи	да	је	0.317308
значи	да	се	0.144231
значи	да	су	0.086538
значи	да	ће	0.048077
значи	да	би	0.038462
значи	да	има	0.038462
значи	да	он	0.028846
значи	да	није	0.028846
значи	да	ако	0.028846
значи	да	не	0.028846
изгледа	да	је	0.431818
изгледа	да	су	0.295455
изгледа	да	није	0.068182
изгледа	као	да	0.900000
или	ако	је	0.750000
или	без	њега	1.000000
или	било	које	0.333333
или	више	њих	0.250000
или	да	се	0.400000
или	да	је	0.125000
или	да	би	0.100000
или	да	ли	0.075000
или	зато	што	1.000000
или	када	се	0.300000
или	како	је	0.375000
или	само	у	0.600000
или	су	се	0.260870
или	су	у	0.217391
или	чак	и	0.200000
или	чак	да	0.200000
или	је	био	0.176471
или	ће	се	0.500000
им	да	се	0.333333
им	да	је	0.333333
им	се	и	0.150000
им	је	у	0.126761
им	је	да	0.112676
им	је	био	0.098592
им	је	било	0.098592
им	је	била	0.084507
им	је	и	0.084507
има	велики	број	0.846154
има	више	од	0.909091
има	година	и	0.600000
има	и	своју	0.147059
има	и	два	0.088235
има	право	да	0.500000
има	право	на	0.444444
има	само	два	0.307692
има	своје	име	0.750000
има	још	дана	0.727273
исто	време	и	0.230769
исто	време	био	0.102564
исто	време	када	0.076923
исто	као	и	0.714286
исто	тако	и	0.209302
исто	тако	је	0.116279
исто	тако	да	0.069767
исто	тако	су	0.069767
исто	тако	био	0.069767
исто	што	и	1.000000
колико	дуго	је	1.000000
колико	их	је	0.666667
колико	је	то	0.142857
колико	је	био	0.142857
колико	је	било	0.085714
колико	је	у	0.085714
која	би	се	0.277778
која	би	могла	0.194444
која	би	била	0.138889
која	га	је	0.842105
која	жели	да	1.000000
која	и	данас	0.600000
која	им	је	0.857143
која	има	за	0.187500
која	их	је	0.888889
која	каже	да	1.000000
која	може	да	0.727273
која	му	је	0.666667
која	му	се	0.250000
која	не	може	0.384615
која	не	постоји	0.230769
која	никада	није	0.750000
која	нису	била	0.750000
која	није	била	0.555556
која	ради	на	0.428571
која	ради	у	0.428571
која	се	у	0.155039
која	се	може	0.147287
која	се	зове	0.085271
која	се	касније	0.054264
која	се	не	0.054264
која	се	могу	0.038760
која	се	на	0.031008
која	се	данас	0.031008
која	се	за	0.031008
која	се	дешава	0.031008
која	се	већ	0.023256
која	се	од	0.023256
која	се	због	0.023256
која	се	по	0.023256
која	се	и	0.023256
која	се	са	0.023256
која	су	се	0.264706
која	су	била	0.220588
која	су	од	0.058824
која	су	му	0.044118
која	треба	да	1.000000
која	је	била	0.285311
која	је	у	0.129944
која	је	на	0.070621
која	је	такође	0.031073
која	је	и	0.031073
која	је	већ	0.031073
која	је	за	0.028249
која	је	касније	0.019774
која	је	по	0.016949
која	је	сада	0.016949
која	је	до	0.016949
која	је	пре	0.014124
која	је	требало	0.014124
која	је	из	0.014124
која	је	од	0.011299
која	је	то	0.011299
која	је	вероватно	0.011299
која	је	увек	0.008475
која	је	после	0.008475
која	је	према	0.008475
која	је	са	0.008475
која	је	све	0.008475
која	је	више	0.008475
која	је	под	0.008475
која	је	један	0.008475
која	јој	је	0.909091
која	ће	бити	0.333333
која	ће	се	0.194444
која	ће	га	0.111111
које	би	се	0.208333
које	би	било	0.166667
које	би	могао	0.125000
које	би	им	0.125000
које	га	је	1.000000
које	и	даље	0.500000
које	и	данас	0.300000
које	им	је	1.000000
које	могу	бити	0.578947
које	могу	да	0.421053
које	може	да	0.857143
које	му	је	0.583333
које	му	се	0.250000
које	се	могу	0.168317
које	се	може	0.128713
које	се	не	0.089109
које	се	у	0.069307
које	се	нису	0.049505
које	се	данас	0.039604
које	се	и	0.039604
које	се	зове	0.029703
које	се	од	0.029703
које	су	се	0.340807
које	су	у	0.125561
које	су	касније	0.035874
које	су	на	0.031390
које	су	до	0.026906
које	су	већ	0.022422
које	су	по	0.022422
које	су	им	0.017937
које	су	били	0.017937
које	су	му	0.017937
које	су	је	0.017937
које	су	сада	0.017937
које	су	све	0.017937
које	су	јој	0.013453
које	су	вероватно	0.013453
које	су	имали	0.013453
које	су	као	0.013453
које	су	са	0.013453
које	треба	да	1.000000
које	је	у	0.150685
које	је	било	0.116438
које	је	имао	0.047945
које	је	и	0.047945
које	је	по	0.041096
које	је	требало	0.034247
које	је	био	0.027397
које	је	она	0.027397
које	је	он	0.027397
које	је	до	0.027397
које	је	са	0.027397
које	је	на	0.027397
које	је	касније	0.020548
које	је	ова	0.020548
које	јој	је	0.750000
које	ће	се	0.461538
које	ће	бити	0.153846
који	би	се	0.270833
који	би	могли	0.104167
који	би	могао	0.083333
који	би	био	0.083333
који	би	на	0.062500
који	би	требало	0.062500
који	га	је	0.948718
који	жели	да	1.000000
који	и	даље	0.600000
који	им	је	0.625000
који	има	за	0.166667
који	их	је	0.900000
који	могу	да	0.611111
који	могу	бити	0.333333
који	може	да	0.782609
који	може	бити	0.130435
који	му	је	0.785714
који	му	се	0.142857
који	не	може	0.375000
који	нису	били	0.288889
који	нису	имали	0.288889
који	нису	у	0.177778
који	нису	могли	0.133333
који	није	био	0.315789
који	од	њих	0.600000
који	ради	на	0.307692
који	ради	у	0.230769
који	се	у	0.122066
који	се	могу	0.112676
који	се	зове	0.070423
који	се	може	0.070423
који	се	на	0.065728
који	се	такође	0.042254
који	се	нису	0.028169
који	се	први	0.028169
који	се	не	0.028169
који	се	данас	0.023474
који	се	сада	0.018779
који	се	и	0.018779
који	се	ту	0.018779
који	се	могао	0.014085
који	се	веома	0.014085
који	се	већ	0.014085
који	се	још	0.014085
који	се	са	0.014085
који	се	из	0.014085
који	су	се	0.339200
који	су	били	0.140800
који	су	у	0.078400
који	су	га	0.036800
који	су	их	0.024000
који	су	на	0.020800
који	су	имали	0.019200
који	су	могли	0.017600
који	су	је	0.017600
који	су	му	0.016000
који	су	и	0.016000
који	су	им	0.014400
који	су	од	0.012800
који	су	до	0.011200
који	су	сви	0.011200
који	су	касније	0.009600
који	су	такође	0.009600
који	су	већ	0.009600
који	су	после	0.009600
који	су	након	0.008000
који	су	јој	0.008000
који	су	само	0.008000
који	су	ту	0.006400
који	су	из	0.006400
који	су	део	0.006400
који	су	још	0.004800
који	су	као	0.004800
који	су	својим	0.004800
који	су	они	0.004800
који	су	за	0.004800
који	такође	имају	0.600000
који	треба	да	1.000000
који	је	био	0.249624
који	је	у	0.133835
који	је	имао	0.058647
који	је	на	0.051128
који	је	и	0.027068
који	је	такође	0.025564
који	је	касније	0.024060
који	је	за	0.024060
који	је	требало	0.022556
који	је	са	0.021053
који	је	по	0.019549
који	је	од	0.018045
који	је	први	0.015038
који	је	као	0.013534
који	је	могао	0.012030
који	је	до	0.010526
који	је	дошао	0.009023
који	је	већ	0.009023
који	је	још	0.009023
који	је	само	0.009023
који	је	сам	0.009023
који	је	сада	0.009023
који	је	из	0.007519
који	је	то	0.007519
који	је	она	0.007519
који	је	због	0.007519
који	је	око	0.006015
који	је	један	0.006015
који	је	према	0.006015
који	је	много	0.006015
који	још	увек	0.500000
који	јој	је	0.812500
који	ће	се	0.242424
који	ће	бити	0.151515
који	ће	касније	0.090909
који	ће	му	0.075758
који	ће	га	0.060606
који	ће	јој	0.060606
који	ће	у	0.045455
коју	му	је	1.000000
коју	су	се	0.250000
коју	је	он	0.125000
коју	је	имао	0.125000
коју	је	у	0.125000
коју	је	и	0.062500
коју	је	био	0.046875
коју	јој	је	1.000000
куће	али	је	1.000000
куће	које	су	0.750000
куће	су	се	0.333333
ли	се	ради	0.300000
ли	је	то	0.234043
ли	је	он	0.127660
ли	је	у	0.085106
ли	је	овај	0.063830
ли	је	ово	0.063830
мали	број	људи	0.500000
мало	више	од	0.714286
мало	по	мало	1.000000
мало	се	зна	1.000000
мало	је	вероватно	0.500000
место	где	је	0.400000
место	где	се	0.200000
место	где	су	0.120000
место	дошао	је	1.000000
место	као	и	0.750000
место	које	је	0.625000
место	се	први	0.888889
место	је	било	0.466667
могао	би	бити	0.666667
могао	да	се	0.592593
могао	да	буде	0.129630
могао	да	га	0.074074
могао	ни	да	0.600000
могао	је	да	0.714286
могао	је	бити	0.190476
можемо	рећи	да	0.777778
након	две	године	0.833333
након	неколико	дана	0.500000
након	неколико	година	0.400000
након	пет	година	0.625000
након	само	неколико	0.428571
након	тога	је	0.329897
након	тога	се	0.123711
након	тога	у	0.092784
након	тога	су	0.072165
након	тога	отишао	0.030928
након	тога	и	0.030928
након	тога	са	0.030928
након	три	године	0.636364
након	три	дана	0.272727
након	што	је	0.653367
након	што	су	0.139651
након	што	се	0.104738
након	што	јој	0.019950
након	што	га	0.019950
након	што	му	0.017456
након	што	их	0.014963
након	што	би	0.007481
начин	да	се	0.766667
начин	као	и	0.875000
начин	који	је	0.400000
начин	који	се	0.300000
начин	на	који	1.000000
начин	он	је	0.750000
начин	се	може	0.375000
неки	други	начин	1.000000
неки	од	њих	0.916667
неки	су	били	0.285714
неки	су	имали	0.214286
нешто	више	од	0.894737
нешто	што	је	0.500000
нешто	што	није	0.166667
неће	бити	у	0.428571
неће	да	се	1.000000
никада	не	могу	0.300000
никада	није	била	0.272727
никада	се	није	0.800000
нико	не	зна	0.333333
нико	не	може	0.333333
нико	не	би	0.250000
нико	није	могао	0.523810
нико	није	био	0.190476
нико	није	знао	0.142857
нико	од	њих	1.000000
нико	се	није	0.666667
није	била	у	0.352941
није	била	ни	0.147059
није	била	само	0.117647
није	било	довољно	0.303571
није	било	ни	0.142857
није	било	тако	0.071429
није	било	а	0.071429
није	било	много	0.053571
није	био	у	0.316667
није	био	ни	0.133333
није	био	први	0.100000
није	био	довољно	0.050000
није	био	превише	0.050000
није	био	на	0.050000
није	довољно	да	0.750000
није	знао	да	0.190476
није	знао	за	0.142857
није	знао	где	0.142857
није	имао	ни	0.375000
није	имао	довољно	0.187500
није	могао	да	0.770270
није	могао	ни	0.054054
није	могао	бити	0.054054
није	могла	да	0.833333
није	му	била	0.428571
није	ни	било	0.454545
није	се	могла	0.250000
није	сигурно	да	0.800000
није	требало	да	0.800000
није	у	реду	0.600000
није	увек	била	0.375000
није	хтео	да	0.882353
новац	који	је	0.750000
новац	је	био	0.600000
овде	је	било	0.375000
овог	пута	и	0.230769
овог	пута	са	0.230769
одмах	након	тога	0.625000
одмах	након	што	0.375000
она	која	је	0.416667
она	која	се	0.416667
она	може	да	0.500000
она	мора	да	0.777778
она	му	је	0.700000
она	не	може	0.300000
она	није	могла	0.500000
она	није	била	0.357143
она	се	такође	0.178571
она	се	може	0.107143
она	се	у	0.107143
она	се	не	0.107143
она	то	није	0.800000
она	је	била	0.350649
она	је	такође	0.103896
она	је	и	0.064935
она	је	у	0.064935
она	је	на	0.051948
она	је	рекла	0.038961
онда	када	су	0.307692
онда	када	је	0.230769
они	који	су	0.560000
они	који	нису	0.140000
они	који	се	0.080000
они	који	имају	0.060000
они	могу	бити	0.461538
они	могу	да	0.461538
они	нису	имали	0.444444
они	се	не	0.444444
они	су	били	0.196581
они	су	се	0.162393
они	су	у	0.076923
они	су	такође	0.051282
они	су	га	0.051282
они	су	имали	0.042735
они	су	касније	0.034188
они	су	на	0.034188
они	су	му	0.025641
они	су	заједно	0.025641
они	су	сада	0.025641
осим	ако	је	0.294118
осим	ако	се	0.235294
осим	ако	не	0.176471
осим	тога	у	0.212121
осим	тога	и	0.121212
осим	што	је	0.470588
осим	што	су	0.235294
отац	био	је	1.000000
отац	га	је	1.000000
отац	и	мајка	0.636364
отац	му	је	0.733333
отац	му	се	0.266667
отац	је	био	0.760000
отац	јој	је	0.800000
пет	година	касније	0.344828
пет	година	и	0.103448
пет	година	након	0.103448
пет	дана	касније	0.600000
пет	пута	је	0.444444
поново	да	се	1.000000
поново	су	се	0.666667
поново	је	био	0.444444
рекла	да	је	0.400000
рекла	да	би	0.120000
рекла	да	су	0.120000
рекла	је	да	0.750000
рећи	да	је	0.634146
рећи	да	су	0.170732
с	времена	на	1.000000
с	тим	што	0.528302
с	тим	да	0.377358
с	тим	у	0.056604
сад	су	се	1.000000
сада	је	у	0.166667
само	ако	је	0.357143
само	ако	су	0.214286
само	да	је	0.269231
само	да	се	0.192308
само	да	би	0.153846
само	да	су	0.153846
само	да	није	0.076923
само	две	године	0.875000
само	зато	што	0.714286
само	име	каже	1.000000
само	како	би	1.000000
само	мали	део	0.545455
само	мали	број	0.454545
само	на	томе	0.333333
само	неколико	година	0.428571
само	онда	када	0.750000
само	они	који	0.750000
само	су	неки	0.500000
само	три	године	0.666667
само	у	једном	0.368421
само	у	неколико	0.157895
само	што	је	0.600000
само	је	једна	0.272727
само	један	од	0.368421
само	један	део	0.210526
само	једном	у	0.750000
само	још	једна	0.428571
сигурно	да	је	0.500000
су	била	у	0.277778
су	била	два	0.222222
су	била	на	0.166667
су	били	у	0.231293
су	били	и	0.136054
су	били	на	0.122449
су	били	веома	0.054422
су	били	под	0.047619
су	били	од	0.047619
су	били	из	0.040816
су	били	први	0.040816
су	били	за	0.020408
су	били	око	0.020408
су	били	ти	0.020408
су	били	они	0.020408
су	били	много	0.020408
су	велики	број	0.600000
су	већ	били	0.272727
су	више	од	0.750000
су	врло	брзо	0.750000
су	га	и	0.147059
су	га	у	0.117647
су	га	као	0.058824
су	га	до	0.058824
су	га	за	0.058824
су	га	да	0.058824
су	га	са	0.044118
су	га	сви	0.044118
су	да	се	0.352459
су	да	је	0.196721
су	да	су	0.131148
су	да	би	0.032787
су	да	ће	0.032787
су	да	га	0.024590
су	да	му	0.024590
су	данас	у	0.800000
су	два	пута	0.571429
су	до	данас	0.222222
су	до	сада	0.222222
су	за	време	0.185185
су	за	то	0.111111
су	заједно	са	0.615385
су	заједно	у	0.230769
су	због	тога	0.714286
су	и	даље	0.192308
су	и	на	0.076923
су	и	данас	0.057692
су	и	до	0.048077
су	и	два	0.038462
су	и	други	0.038462
су	и	да	0.028846
су	и	од	0.028846
су	и	велики	0.028846
су	и	сви	0.028846
су	им	били	0.272727
су	им	се	0.181818
су	имали	и	0.175000
су	имали	на	0.075000
су	исто	тако	0.800000
су	их	у	0.103448
су	их	на	0.103448
су	како	би	0.500000
су	као	и	0.555556
су	могли	да	0.793103
су	могли	бити	0.103448
су	му	се	0.276596
су	му	били	0.148936
су	му	у	0.085106
су	му	да	0.063830
су	на	то	0.083333
су	на	овом	0.083333
су	након	тога	0.750000
су	не	само	0.833333
су	неке	од	0.666667
су	неки	од	0.518519
су	неки	били	0.185185
су	неколико	пута	1.000000
су	о	томе	1.000000
су	ова	два	0.750000
су	од	до	0.333333
су	он	и	0.750000
су	они	били	0.250000
су	они	који	0.222222
су	они	у	0.083333
су	по	први	0.416667
су	после	тога	0.666667
су	први	пут	0.818182
су	пре	тога	0.375000
су	према	томе	1.000000
су	само	у	0.200000
су	само	два	0.200000
су	све	више	0.333333
су	све	до	0.166667
су	сви	у	0.222222
су	сви	људи	0.166667
су	сви	били	0.166667
су	се	у	0.273084
су	се	на	0.092338
су	се	и	0.074656
су	се	од	0.033399
су	се	да	0.027505
су	се	за	0.027505
су	се	са	0.023576
су	се	по	0.019646
су	се	такође	0.017682
су	се	већ	0.017682
су	се	касније	0.015717
су	се	само	0.015717
су	се	око	0.013752
су	се	ту	0.011788
су	се	поново	0.011788
су	се	из	0.011788
су	се	до	0.011788
су	се	све	0.011788
су	се	први	0.011788
су	се	код	0.009823
су	се	могли	0.009823
су	се	људи	0.009823
су	се	више	0.009823
су	се	још	0.009823
су	се	сада	0.007859
су	се	према	0.007859
су	се	ове	0.007859
су	се	брзо	0.007859
су	се	након	0.007859
су	се	као	0.007859
су	такође	били	0.400000
су	такође	и	0.166667
су	такође	имали	0.133333
су	те	године	1.000000
су	то	били	0.357143
су	то	само	0.214286
су	у	ствари	0.202899
су	у	овом	0.144928
су	у	то	0.115942
су	у	више	0.057971
су	у	својим	0.043478
су	у	прво	0.043478
су	чак	и	0.750000
су	је	у	0.269231
су	је	и	0.153846
су	је	да	0.115385
су	један	од	0.777778
су	једно	време	0.625000
су	још	увек	0.230769
су	још	два	0.153846
су	још	и	0.153846
су	још	у	0.076923
су	још	били	0.076923
су	јој	се	0.615385
та	да	се	0.375000
тако	да	је	0.387387
тако	да	се	0.180180
тако	да	су	0.159910
тако	да	би	0.020270
тако	да	није	0.020270
тако	да	не	0.018018
тако	да	на	0.015766
тако	да	у	0.011261
тако	да	сам	0.011261
тако	да	га	0.011261
тако	да	нема	0.011261
тако	да	она	0.009009
тако	да	више	0.009009
тако	да	их	0.006757
тако	да	им	0.006757
тако	да	сваки	0.006757
тако	да	може	0.006757
тако	и	на	0.326531
тако	и	за	0.224490
тако	и	по	0.061224
тако	и	са	0.061224
тако	се	у	0.150000
тако	су	се	0.230769
тако	што	је	0.268116
тако	што	се	0.217391
тако	што	су	0.173913
тако	што	ће	0.137681
тако	што	би	0.065217
тако	што	јој	0.028986
тако	што	га	0.021739
тако	је	и	0.224138
тако	је	у	0.155172
тако	је	било	0.086207
тако	је	на	0.086207
тако	је	по	0.051724
такође	био	је	0.428571
такође	био	у	0.214286
такође	и	за	0.160000
такође	има	и	0.642857
такође	имају	и	0.428571
такође	могу	бити	0.615385
такође	може	да	0.625000
такође	може	бити	0.187500
такође	постоји	и	0.444444
такође	рекао	да	0.750000
такође	се	може	0.416667
такође	се	у	0.250000
такође	су	били	0.307692
такође	су	се	0.192308
такође	су	у	0.115385
такође	треба	да	0.833333
такође	је	био	0.305556
такође	је	и	0.111111
такође	је	била	0.097222
такође	је	у	0.083333
такође	је	имао	0.069444
такође	један	од	1.000000
такође	једна	од	1.000000
те	године	је	0.352941
те	године	и	0.147059
те	године	у	0.088235
те	да	је	0.333333
те	да	су	0.076923
те	да	се	0.076923
те	да	ће	0.076923
те	се	у	0.190476
те	су	се	0.272727
те	су	у	0.121212
те	су	га	0.090909
те	је	у	0.155172
те	је	и	0.068966
те	је	због	0.068966
те	је	са	0.068966
те	је	тако	0.068966
те	је	овај	0.051724
те	је	до	0.051724
те	је	на	0.051724
то	би	било	0.222222
то	био	његов	0.250000
то	био	је	0.187500
то	време	је	0.214815
то	време	био	0.103704
то	време	у	0.088889
то	време	није	0.059259
то	време	била	0.051852
то	време	и	0.044444
то	време	било	0.037037
то	време	на	0.029630
то	време	били	0.022222
то	време	су	0.022222
то	време	још	0.022222
то	време	се	0.022222
то	га	је	1.000000
то	да	је	0.423077
то	да	се	0.221154
то	да	ли	0.105769
то	да	су	0.076923
то	да	ће	0.028846
то	значи	да	0.975000
то	их	је	1.000000
то	место	је	0.266667
то	могу	бити	1.000000
то	може	бити	0.533333
то	може	да	0.400000
то	му	је	0.571429
то	нам	је	1.000000
то	не	може	0.312500
то	не	значи	0.250000
то	није	било	0.250000
то	није	био	0.200000
то	није	била	0.100000
то	се	дешава	0.142857
то	се	и	0.114286
то	се	може	0.114286
то	се	десило	0.085714
то	се	није	0.085714
то	се	у	0.085714
то	су	били	0.477273
то	су	у	0.090909
то	тако	што	0.800000
то	требало	да	1.000000
то	што	је	0.509091
то	што	се	0.181818
то	што	су	0.145455
то	је	био	0.204268
то	је	била	0.125000
то	је	било	0.118902
то	је	први	0.051829
то	је	један	0.045732
то	је	и	0.039634
то	је	у	0.039634
то	је	да	0.027439
то	је	такође	0.021341
то	је	време	0.018293
то	је	једна	0.018293
то	је	за	0.015244
то	је	зато	0.015244
то	је	вероватно	0.012195
то	је	оно	0.012195
то	је	место	0.012195
то	је	због	0.012195
то	је	пре	0.009146
то	је	само	0.009146
то	је	по	0.009146
то	је	веома	0.009146
то	је	као	0.009146
то	је	други	0.009146
то	једна	од	1.000000
толико	да	су	0.500000
три	године	а	0.142857
три	године	касније	0.142857
три	године	и	0.119048
три	године	од	0.071429
три	године	у	0.071429
три	дана	касније	0.400000
три	и	по	1.000000
три	или	више	1.000000
три	пута	је	0.285714
ту	га	је	1.000000
ту	се	и	0.187500
ту	се	могу	0.187500
ту	су	се	0.350000
ту	су	и	0.250000
ту	су	још	0.075000
ту	је	и	0.395349
ту	је	била	0.093023
ту	је	било	0.093023
ту	је	био	0.069767
чак	и	ако	0.190000
чак	и	када	0.140000
чак	и	да	0.070000
чак	и	пре	0.070000
чак	и	са	0.050000
чак	и	након	0.050000
чак	и	на	0.050000
чак	и	од	0.040000
чак	и	више	0.030000
чак	се	и	0.625000
чак	су	и	0.750000
чак	је	и	0.894737
човек	који	је	0.666667
човек	који	се	0.166667
човек	може	да	1.000000
чуо	да	је	0.444444
што	би	се	0.250000
што	би	то	0.093750
што	га	је	0.875000
што	значи	да	0.821429
што	им	је	0.708333
што	им	се	0.208333
што	има	за	0.444444
што	их	је	0.812500
