abas	puses	ir	0.300000
jūs	domājat	ka	0.272727
jūs	domājat	par	0.272727
jūs	taču	esat	0.428571
jūs	zināt	kas	0.500000
katra	paša	ziņā	0.750000
katrs	ar	savu	0.833333
katrs	cilvēks	var	0.230769
katrs	no	viņiem	0.230769
katrs	no	mums	0.192308
katrs	no	tiem	0.153846
katrs	no	šiem	0.115385
katrs	par	sevi	0.750000
katrs	uz	savu	0.750000
katrs	var	atrast	0.363636
ko	ar	to	0.176471
ko	ar	šo	0.176471
ko	ar	savu	0.176471
ko	avīzes	rakstīja	1.000000
ko	dara	un	0.100000
ko	darīt	ar	0.146067
ko	darīt	lai	0.134831
ko	darīt	ja	0.101124
ko	darīt	kā	0.067416
ko	darīt	tad	0.056180
ko	darīt	un	0.044944
ko	darīt	tālāk	0.044944
ko	domā	par	0.300000
ko	es	varu	0.102564
ko	es	daru	0.076923
ko	es	kā	0.076923
ko	jaunu	un	0.222222
ko	jaunu	par	0.111111
ko	jūs	domājat	0.142857
ko	jūs	esat	0.107143
ko	lai	dara	0.333333
ko	lai	saka	0.208333
ko	liecina	arī	0.500000
ko	man	ir	0.272727
ko	mēs	varam	0.100000
ko	mēs	darām	0.080000
ko	mēs	ar	0.080000
ko	nozīmē	būt	0.125000
ko	par	to	0.375000
ko	par	viņiem	0.125000
ko	sauc	par	0.875000
ko	savā	dzīvē	0.571429
ko	tad	es	0.113208
ko	tad	īsti	0.056604
ko	tad	viņi	0.056604
ko	tad	jūs	0.056604
ko	tas	nozīmē	0.322581
ko	teikt	par	0.250000
ko	tev	nozīmē	0.857143
ko	tik	daudz	0.300000
ko	tu	dari	0.115385
ko	tu	esi	0.076923
ko	tu	gribi	0.076923
ko	tu	tur	0.057692
ko	tādu	kas	0.108108
ko	tādu	var	0.081081
ko	un	kā	0.590909
ko	vairāk	un	0.222222
ko	vairāk	nekā	0.222222
ko	vairāk	par	0.166667
ko	var	darīt	0.113636
ko	var	redzēt	0.068182
ko	varam	darīt	0.266667
ko	viņa	domā	0.166667
ko	viņa	ir	0.166667
ko	viņi	dara	0.100000
ko	viņi	tur	0.083333
ko	viņi	darīja	0.050000
ko	viņi	domā	0.050000
ko	viņš	te	0.071429
ko	viņš	vēlas	0.071429
ko	viņš	grib	0.071429
ko	viņš	dara	0.071429
ko	vēl	varētu	0.200000
kompānija	plāno	tērēt	1.000000
kopš	darbu	sāka	1.000000
kopš	gada	sākuma	0.254237
kopš	gada	un	0.135593
kopš	gada	marta	0.050847
kopš	gada	ir	0.050847
kopš	padomju	laikiem	1.000000
kopš	pagājušā	gada	0.823529
kopš	pagājušā	gadsimta	0.176471
kopš	tā	laika	0.785714
kopš	tā	brīža	0.178571
kopš	šā	gada	0.909091
kopš	šī	gada	1.000000
krāsas	kas	tavu	1.000000
krāsas	pietrūkst	mani	0.500000
kundze	pastāstīja	ka	1.000000
kādu	gadus	vecu	1.000000
kādu	iemeslu	dēļ	0.916667
kādu	laiku	atpakaļ	0.088889
kādu	laiku	arī	0.066667
kādu	laiku	ir	0.066667
kāpt	uz	skatuves	0.750000
kāpēc	gan	to	0.208333
kāpēc	lai	es	0.250000
kāpēc	man	būtu	0.200000
kāpēc	mums	ir	0.230769
kāpēc	tas	ir	0.166667
kāpēc	tu	domā	0.333333
kļuvis	par	vienu	0.240000
kļuvis	zināms	ka	1.000000
kļūst	arvien	mazāk	0.357143
kļūst	arvien	vairāk	0.357143
kļūst	ne	tikai	1.000000
kļūt	par	lielu	0.046154
kļūt	par	prezidentu	0.046154
kļūt	par	labu	0.046154
labi	arī	tas	0.500000
labi	būtu	ja	0.750000
labi	cilvēki	un	0.600000
labi	ir	tur	0.300000
labi	ja	no	0.071429
labi	ka	vismaz	0.097222
labi	ka	man	0.041667
labi	ka	šoreiz	0.041667
labi	ka	cilvēki	0.041667
labi	ka	šī	0.041667
labi	ka	vēl	0.041667
labi	pavadīt	laiku	1.000000
labi	saprotam	ka	1.000000
labi	vai	slikti	0.375000
labi	var	redzēt	0.375000
labi	vien	ir	0.750000
labi	zina	ka	0.428571
labi	zinām	ka	0.500000
labi	zināms	ka	0.571429
labs	veids	kā	1.000000
labu	ģimenes	ārstu	1.000000
labāk	būtu	ja	0.333333
laikam	jau	būs	0.085714
laikam	kaut	ko	0.750000
laikam	pastāstīja	ka	1.000000
laikam	teica	ka	1.000000
latviešu	biedrības	namā	0.634615
latviešu	biedrības	nama	0.288462
latviešu	dziesmu	un	1.000000
latviešu	tautas	dejas	0.200000
latviešu	un	krievu	0.888889
latviešu	valoda	ir	0.388889
latviešu	valoda	un	0.166667
latviešu	valodas	un	0.421053
latviešu	valodu	un	0.307692
latviešu	valodā	un	0.200000
latviešu	valodā	ir	0.120000
lauku	atbalsta	dienesta	0.428571
lauku	atbalsta	dienests	0.357143
lauku	ceļi	ir	1.000000
lauku	ģimenes	ārstu	0.750000
lemts	arī	par	1.000000
lemts	jautājums	par	1.000000
lemts	par	drošības	0.375000
lieli	un	mazi	0.500000
lieliski	tika	galā	1.000000
lielisks	veids	kā	0.875000
lielāka	iespēja	ka	0.714286
lietām	kas	ir	0.230769
lietām	par	ko	1.000000
logu	un	durvju	0.750000
maksas	un	bez	0.600000
mans	darbs	ir	0.428571
mans	mērķis	ir	0.500000
manuprāt	ir	ļoti	0.107143
manuprāt	tas	ir	0.523810
mazāk	nekā	gada	0.176471
mazāk	nekā	iepriekšējā	0.147059
mazāk	nekā	gadu	0.088235
meklēšanas	un	glābšanas	1.000000
milzīgs	paldies	visiem	0.600000
mis	un	misters	0.888889
muzejs	jau	ir	0.750000
mācību	gada	sākumā	0.181818
mācību	gada	sākuma	0.136364
mācību	gada	beigām	0.136364
mācību	kursu	par	0.428571
mācīties	latviešu	valodā	0.750000
mākslas	skolas	un	0.210526
mākslas	un	mūzikas	0.625000
mēs	ar	vīru	0.138889
mēs	ar	savu	0.111111
mēs	ceram	ka	0.750000
mēs	esam	gatavi	0.070000
mēs	esam	ļoti	0.070000
mēs	esam	stipri	0.070000
mēs	esam	un	0.060000
mēs	esam	ne	0.040000
mēs	esam	tikai	0.040000
mēs	esam	pārliecināti	0.040000
mēs	esam	par	0.030000
mēs	esam	bijuši	0.030000
mēs	gribam	lai	0.277778
mēs	gribētu	lai	0.600000
mēs	it	kā	1.000000
mēs	jau	tā	0.083333
mēs	katrs	esam	0.363636
mēs	kaut	ko	1.000000
mēs	kopā	ar	0.714286
mēs	labi	zinām	0.800000
mēs	nevaram	būt	0.103448
mēs	nolēmām	ka	1.000000
mēs	paši	esam	0.153846
mēs	redzam	ka	0.481481
mēs	runājam	par	0.700000
mēs	sakām	ka	0.500000
mēs	saprotam	ka	0.333333
mēs	skatāmies	uz	0.600000
mēs	tik	ļoti	0.428571
mēs	to	nevaram	0.138889
mēs	to	noteikti	0.083333
mēs	tur	esam	0.600000
mēs	varam	būt	0.050847
mēs	visi	esam	0.260870
mēs	visi	zinām	0.086957
mēs	visi	vēlamies	0.065217
mēs	visu	laiku	0.625000
mēs	vēlamies	lai	0.176471
mēs	zinām	ka	0.428571
mēs	ļoti	labi	0.428571
mūsdienās	tas	ir	1.000000
mūzikas	mākslas	un	1.000000
mūzikas	un	mākslas	0.875000
naftas	cenas	ir	0.187500
naftas	un	gāzes	0.444444
naudu	par	to	0.230769
naudu	šim	mērķim	1.000000
neesot	bijis	ne	0.214286
neesot	nemaz	tik	1.000000
neesot	tā	ka	0.750000
negrib	lai	viņu	0.750000
neizdevās	vienoties	par	1.000000
nekad	nav	bijis	0.359375
nekad	nav	bijusi	0.109375
nekad	nav	par	0.062500
nekad	nav	bijuši	0.046875
nekad	nav	labi	0.046875
nekad	neko	nevar	0.571429
nekad	nevar	zināt	0.454545
nekad	nevar	būt	0.454545
nekad	vairs	nebūs	0.333333
nekur	nav	pazudusi	0.176471
nekur	nav	tik	0.176471
nekāda	sakara	ar	0.888889
nepieciešams	tikai	viens	0.750000
nepietiek	tikai	ar	1.000000
neprot	valsts	valodu	1.000000
nevajag	aizmirst	ka	0.857143
nevajag	domāt	ka	1.000000
nezina	kas	būs	0.300000
no	a	līdz	0.571429
no	abām	pusēm	1.000000
no	anglijas	un	0.600000
no	angļu	valodas	0.800000
no	bērna	kājas	0.666667
no	ceļa	un	0.625000
no	cilvēkiem	ar	0.150000
no	cilvēkiem	kuri	0.150000
no	citām	eiropas	0.357143
no	citām	es	0.214286
no	darba	un	0.105263
no	diviem	līdz	0.800000
no	es	un	0.210526
no	gada	līdz	0.173077
no	gada	uz	0.076923
no	gada	gadā	0.057692
no	gada	sākuma	0.057692
no	gadu	vecuma	0.882353
no	iedzīvotājiem	ir	0.230769
no	iepriekšējā	gada	0.428571
no	jauna	bet	0.093750
no	jūsu	interneta	0.666667
no	kaut	kā	0.416667
no	krievijas	puses	0.160000
no	krievijas	un	0.120000
no	kuras	puses	0.117647
no	kuriem	viens	0.094737
no	kuriem	ir	0.052632
no	kuriem	lielākā	0.042105
no	kuriem	tikai	0.042105
no	kuriem	bija	0.042105
no	kuriem	gandrīz	0.031579
no	kuriem	katrs	0.031579
no	kuriem	divi	0.031579
no	kuriem	ap	0.031579
no	kurienes	uz	0.088235
no	kurienes	tad	0.088235
no	kā	tad	0.085714
no	kā	un	0.085714
no	kā	mācīties	0.085714
no	kā	atkarīga	0.085714
no	labākās	puses	1.000000
no	laika	apstākļiem	0.750000
no	līdz	gadiem	0.595238
no	līdz	pat	0.047619
no	līdz	no	0.047619
no	līdz	gadu	0.047619
no	līdz	tūkstošiem	0.047619
no	līdz	bet	0.035714
no	manas	puses	0.461538
no	marta	līdz	0.571429
no	mums	ir	0.157895
no	mums	var	0.052632
no	mums	pašiem	0.052632
no	mājām	un	0.230769
no	mūsu	puses	0.133333
no	mūsu	pilsētas	0.133333
no	mūsu	pašu	0.100000
no	nākamā	gada	0.916667
no	otra	gala	0.500000
no	otras	puses	0.829787
no	padomju	laikiem	0.500000
no	padomju	laika	0.375000
no	pagājušā	gada	0.727273
no	pagājušā	gadsimta	0.272727
no	paša	sākuma	0.440000
no	paša	rīta	0.280000
no	pieciem	līdz	1.000000
no	piecu	gadu	0.750000
no	pieredzes	sacīja	0.500000
no	pirmās	dienas	0.333333
no	pirmās	līdz	0.250000
no	plkst	līdz	0.775510
no	problēmām	ir	0.600000
no	pulksten	līdz	0.806452
no	pulksten	deviņiem	0.048387
no	rokas	rokā	0.333333
no	rīta	un	0.075949
no	rīta	līdz	0.075949
no	rīta	uz	0.063291
no	rīta	nav	0.037975
no	rīta	ar	0.037975
no	sabiedrības	puses	0.333333
no	savas	puses	0.395349
no	savas	kabatas	0.116279
no	savas	pieredzes	0.116279
no	savas	valsts	0.093023
no	savas	dzīves	0.093023
no	savām	mājām	0.428571
