adam	price	0.500000
alligevel	kommer	0.009434
alligevel	ser	0.009434
alligevel	til	0.009434
alligevel	i	0.009434
alligevel	lidt	0.009434
alligevel	den	0.009434
alligevel	og	0.009434
alligevel	kørte	0.007075
alligevel	skulle	0.007075
alligevel	være	0.007075
alligevel	noget	0.007075
alligevel	få	0.007075
alligevel	lige	0.007075
alligevel	for	0.007075
alligevel	fundet	0.007075
almindelig	af	0.138889
alvorlige	skader	0.191176
alvorlige	konsekvenser	0.161765
alvorlige	at	0.044118
ambassaden	i	0.260870
ambassadør	i	0.395833
ambassadør	for	0.145833
ambassadør	linda	0.062500
ambassadør	og	0.062500
amerikaner	der	0.176471
amerikaner	hans	0.176471
an	på	0.250000
an	mod	0.187500
an	til	0.125000
an	og	0.104167
an	i	0.062500
an	af	0.062500
anbefaler	at	0.440678
anbefaler	et	0.067797
anbefaler	vi	0.067797
andy	murray	0.857143
anelse	om	0.166667
anelse	mere	0.166667
aner	ikke	0.263158
angreb	på	0.272388
angreb	i	0.104478
angreb	mod	0.097015
angreb	fra	0.048507
angreb	og	0.037313
angreb	har	0.037313
angreb	som	0.033582
angreb	med	0.029851
angreb	er	0.018657
angreb	en	0.018657
angreb	der	0.018657
angreb	flere	0.014925
angreb	for	0.011194
angreb	op	0.011194
angst	og	0.576923
angst	for	0.153846
anholdt	og	0.238462
anholdt	i	0.184615
anholdt	en	0.073077
anholdt	for	0.061538
anholdt	efter	0.050000
anholdt	på	0.050000
anholdt	af	0.042308
anholdt	personer	0.019231
anholdt	lørdag	0.015385
anholdt	den	0.015385
anholdt	to	0.011538
anholdt	kort	0.011538
anholdt	under	0.011538
anholdt	flere	0.011538
anholdt	siden	0.011538
anklaget	for	0.794872
ankommer	til	0.571429
anmoder	om	1.000000
ansigt	til	0.283582
ansigt	med	0.179104
ansigt	i	0.074627
ansigt	og	0.059701
ansigt	der	0.044776
ansigt	på	0.044776
ansvar	for	0.491018
ansvar	i	0.083832
ansvar	at	0.083832
ansvar	og	0.041916
ansvar	siger	0.035928
ansvar	er	0.023952
ansvar	når	0.023952
ansvar	skriver	0.017964
antallet	af	0.956164
antallet	er	0.010959
anthony	joshua	0.400000
antonio	i	0.600000
arbejde	med	0.146084
arbejde	i	0.103916
arbejde	og	0.088855
arbejde	for	0.082831
arbejde	på	0.064759
arbejde	som	0.046687
arbejde	er	0.028614
arbejde	der	0.025602
arbejde	siger	0.022590
arbejde	sammen	0.021084
arbejde	eller	0.016566
arbejde	videre	0.016566
arbejde	at	0.015060
arbejde	mere	0.015060
arbejde	hos	0.012048
arbejde	ved	0.012048
arbejde	har	0.012048
arbejde	hårdt	0.009036
arbejde	hjemmefra	0.009036
arbejde	til	0.009036
arbejde	men	0.009036
arbejde	så	0.009036
arbejde	hver	0.007530
arbejde	efter	0.006024
arbejde	får	0.006024
arbejde	vi	0.006024
arbejde	under	0.006024
arbejde	hen	0.006024
arbejde	hvis	0.006024
arbejde	hjemme	0.006024
arbejde	består	0.004518
arbejde	uden	0.004518
arbejde	det	0.004518
arbejde	timer	0.004518
arbejde	tæt	0.004518
arbejde	da	0.004518
arbejde	fortæller	0.004518
arbejdede	som	0.133333
arbejdede	på	0.133333
arbejdede	hun	0.100000
arbejdede	for	0.083333
arbejdede	i	0.066667
arbejdede	han	0.066667
arbejdede	sammen	0.050000
arbejdet	med	0.240283
arbejdet	på	0.148410
arbejdet	i	0.109541
arbejdet	som	0.063604
arbejdet	er	0.049470
arbejdet	for	0.049470
arbejdet	og	0.031802
arbejdet	sammen	0.024735
arbejdet	under	0.017668
arbejdet	hårdt	0.014134
arbejdet	kan	0.010601
arbejdet	siden	0.010601
arbejdet	tæt	0.010601
arbejdet	meget	0.010601
arbejdsgiver	til	0.130435
arbejdsgiver	og	0.130435
arrangere	et	0.400000
arrangeret	af	0.400000
arrangeret	et	0.133333
arving	til	0.750000
assistance	fra	0.444444
baggrund	af	0.601036
baggrund	og	0.062176
baggrund	i	0.056995
baggrund	som	0.051813
baggrund	er	0.025907
baggrund	at	0.015544
baggrund	end	0.015544
baggrunden	for	0.432432
baggrunden	er	0.189189
baggrunden	og	0.108108
bagud	i	0.184211
bagud	med	0.131579
bagud	og	0.105263
bagud	var	0.078947
bakker	op	0.448718
bakker	og	0.038462
bakker	om	0.038462
bar	i	0.162162
bar	bund	0.081081
barnet	og	0.127273
barnet	som	0.072727
barnet	har	0.072727
bede	om	0.384615
bede	ham	0.076923
bede	dem	0.076923
bedt	om	0.686047
begyndelse	i	0.161290
begyndelse	har	0.096774
begynder	at	0.287671
begynder	i	0.089041
begynder	den	0.037671
begynder	klokken	0.034247
begynder	på	0.030822
begynder	med	0.027397
begynder	det	0.027397
begynder	de	0.020548
begynder	en	0.020548
begynder	der	0.017123
begynder	vi	0.017123
begynder	torsdag	0.017123
begynder	først	0.013699
begynder	tirsdag	0.013699
begynder	nu	0.010274
begynder	hun	0.010274
begynder	arbejdet	0.010274
begynder	fredag	0.010274
begynder	han	0.010274
begynder	for	0.010274
begynder	man	0.010274
begynder	ved	0.010274
begynder	lørdag	0.010274
begynder	februar	0.010274
begå	sig	0.285714
begå	et	0.178571
begå	ny	0.107143
behandle	en	0.156250
behandle	sagen	0.093750
beklager	de	0.185185
beklager	at	0.111111
bemærkede	at	0.333333
beordret	til	0.400000
berlin	og	0.156250
berlin	i	0.093750
besat	af	0.666667
beskidt	og	0.333333
beskrive	hvor	0.125000
beskrive	den	0.125000
beskriver	som	0.126761
beskriver	hvordan	0.098592
beskriver	det	0.098592
beskriver	i	0.084507
beskriver	at	0.070423
beskriver	en	0.056338
beskriver	den	0.042254
beskytte	sig	0.202899
beskytte	de	0.115942
beskytte	den	0.057971
beskytte	vores	0.057971
beskytte	landets	0.043478
beskytte	dem	0.043478
beskyttelse	af	0.314286
beskyttelse	mod	0.171429
beskyttelse	i	0.114286
beskytter	mod	0.142857
bestyrelsen	i	0.175676
bestyrelsen	for	0.162162
bestyrelsen	har	0.081081
bestyrelsen	hos	0.054054
bestyrelsen	og	0.054054
bestyrelsen	består	0.040541
bestyrelsen	er	0.040541
betjente	der	0.150943
betjente	fra	0.113208
betjente	er	0.075472
betjente	som	0.075472
betjente	i	0.056604
betjente	og	0.056604
betragter	som	0.181818
betragter	det	0.136364
betragter	sig	0.136364
betyde	at	0.650794
betyde	for	0.071429
betyde	noget	0.039683
betyde	en	0.031746
betyde	flere	0.023810
betyde	et	0.023810
betød	at	0.606061
betød	dog	0.050505
betød	noget	0.040404
betød	det	0.040404
betød	den	0.040404
betød	en	0.030303
betød	også	0.030303
bevæbnede	mænd	0.500000
bevæger	sig	0.762500
bevæger	os	0.075000
bevæger	dig	0.062500
bil	i	0.101961
bil	og	0.094118
bil	med	0.062745
bil	der	0.050980
bil	som	0.047059
bil	på	0.043137
bil	er	0.031373
bil	men	0.027451
bil	ved	0.027451
bil	eller	0.023529
bil	det	0.019608
bil	var	0.015686
bil	så	0.015686
bil	til	0.015686
bil	siger	0.015686
bil	hun	0.015686
bil	har	0.011765
bil	ind	0.011765
bil	hvis	0.011765
bil	hvor	0.011765
bil	da	0.011765
bil	blev	0.011765
bil	kørte	0.011765
bil	tilbage	0.011765
bil	ud	0.011765
bil	efter	0.011765
bil	han	0.011765
biler	og	0.116564
biler	i	0.092025
biler	på	0.067485
biler	der	0.061350
biler	med	0.055215
biler	er	0.042945
biler	fra	0.030675
biler	som	0.030675
biler	til	0.024540
biler	men	0.024540
biler	var	0.024540
biler	blev	0.018405
biler	en	0.018405
biler	har	0.018405
billigt	at	0.222222
biografen	i	0.272727
blevet	en	0.038506
blevet	til	0.031609
blevet	anholdt	0.025862
blevet	ramt	0.024713
blevet	dræbt	0.020690
blevet	enige	0.019540
blevet	et	0.017816
blevet	mere	0.017241
blevet	brugt	0.016667
blevet	taget	0.015517
blevet	fundet	0.013793
blevet	sigtet	0.013218
blevet	kaldt	0.013218
blevet	udsat	0.012644
blevet	dømt	0.012644
blevet	solgt	0.012069
blevet	sat	0.011494
blevet	i	0.010920
blevet	for	0.010345
blevet	fjernet	0.009770
blevet	testet	0.009195
blevet	valgt	0.009195
blevet	kendt	0.008621
blevet	skudt	0.008046
blevet	meget	0.008046
blevet	smittet	0.008046
blevet	behandlet	0.007471
blevet	sendt	0.007471
blevet	mindre	0.007471
blevet	så	0.007471
blevet	lukket	0.006897
blevet	bedre	0.006897
blevet	aflyst	0.006322
blevet	stukket	0.006322
blevet	slået	0.006322
blevet	set	0.006322
blevet	fyret	0.005747
blevet	stillet	0.005747
blevet	stjålet	0.005747
blevet	endnu	0.005747
blik	på	0.368421
blik	for	0.105263
bliv	klogere	0.500000
blive	en	0.081777
blive	til	0.034771
blive	ved	0.031552
blive	i	0.030908
blive	den	0.018674
blive	et	0.018030
blive	bedre	0.017386
blive	klogere	0.017386
blive	ramt	0.014166
blive	mere	0.013522
blive	sat	0.012878
blive	taget	0.012234
blive	sendt	0.011590
blive	enige	0.011590
blive	det	0.010947
blive	klar	0.010303
blive	endnu	0.010303
blive	brugt	0.009659
blive	lidt	0.009659
blive	valgt	0.009015
blive	svært	0.009015
blive	testet	0.009015
blive	hjemme	0.008371
blive	nødvendigt	0.008371
blive	smittet	0.007727
blive	set	0.007727
blive	meget	0.007727
blive	på	0.007083
blive	optaget	0.007083
blive	straffet	0.006439
blive	presset	0.006439
blive	påvirket	0.005795
blive	nødt	0.005795
blive	for	0.005151
blive	behandlet	0.004507
blive	mødt	0.004507
blive	undersøgt	0.004507
blive	helt	0.004507
blive	gjort	0.004507
blive	medlem	0.004507
bliver	det	0.077458
bliver	en	0.044356
bliver	der	0.035088
bliver	ikke	0.023171
bliver	i	0.020192
bliver	den	0.019199
bliver	til	0.018868
bliver	de	0.018537
bliver	nødt	0.017213
bliver	et	0.014234
bliver	brugt	0.013572
bliver	ved	0.011917
bliver	mere	0.011917
bliver	taget	0.010593
bliver	ramt	0.010262
bliver	også	0.009599
bliver	man	0.009599
bliver	vi	0.008275
bliver	dog	0.007613
bliver	han	0.007613
bliver	sendt	0.007613
bliver	nu	0.007282
bliver	endnu	0.007282
bliver	nemlig	0.006951
bliver	med	0.006951
bliver	bedre	0.006951
bliver	spillet	0.006951
bliver	sat	0.006289
bliver	så	0.006289
bliver	på	0.005627
bliver	gjort	0.004965
bliver	at	0.004965
bliver	muligt	0.004965
bliver	nødvendigt	0.004634
bliver	meget	0.004634
bliver	for	0.004634
bliver	jeg	0.004303
bliver	flere	0.004303
bliver	slået	0.004303
bliver	kaldt	0.004303
blod	og	0.250000
blod	på	0.214286
blue	fox	0.555556
bo	i	0.317073
bo	på	0.109756
bo	og	0.073171
bo	jensen	0.073171
bo	der	0.060976
bo	hos	0.036585
bo	siger	0.036585
boede	i	0.360000
boede	på	0.100000
boede	hos	0.080000
boede	han	0.060000
boet	i	0.481481
boet	på	0.135802
boet	og	0.086420
boet	der	0.037037
bogen	er	0.095890
bogen	bliver	0.041096
bogstaveligt	talt	0.777778
bold	i	0.176471
bolden	i	0.314815
bolden	ind	0.098765
bolden	over	0.055556
bolden	op	0.049383
bolden	væk	0.024691
bolden	og	0.024691
bolden	mest	0.018519
bolden	blev	0.018519
bolden	forbi	0.018519
bolden	ikke	0.018519
bolden	på	0.018519
bombe	i	0.150000
bomber	og	0.235294
bomber	fra	0.176471
bomber	i	0.147059
bordet	og	0.166667
bordet	når	0.104167
bordet	der	0.062500
bordet	siger	0.062500
bordet	med	0.062500
borger	i	0.163636
borger	og	0.127273
borger	har	0.090909
borger	der	0.072727
borger	kan	0.054545
borgmester	i	0.337017
borgmester	peter	0.071823
borgmester	jacob	0.033149
borgmester	kenneth	0.033149
borgmester	er	0.033149
borgmester	og	0.033149
borgmester	thomas	0.022099
borgmester	til	0.022099
borgmester	henrik	0.022099
borgmester	på	0.016575
borgmester	hans	0.016575
borgmester	erik	0.016575
borgmester	anders	0.016575
borgmesteren	i	0.135135
borgmesteren	og	0.067568
borgmesteren	har	0.067568
borgmesteren	at	0.054054
borgmesteren	er	0.040541
bragte	sig	0.327869
bragte	danmark	0.065574
bragte	en	0.065574
bragte	gæsterne	0.049180
bragte	han	0.049180
bragte	historien	0.049180
branche	er	0.176471
branchen	er	0.100000
branchen	og	0.100000
brand	i	0.345912
brand	og	0.138365
brand	på	0.094340
brand	der	0.050314
brand	er	0.031447
brand	redning	0.025157
brand	ved	0.025157
brand	som	0.025157
brand	det	0.018868
brand	siger	0.018868
bringer	vi	0.108108
bringer	os	0.081081
broen	er	0.120690
broen	gratis	0.051724
broen	og	0.051724
broen	på	0.051724
bror	og	0.193548
bror	var	0.096774
brud	på	0.728814
brud	der	0.050847
brugte	den	0.067568
brugte	i	0.054054
brugte	han	0.054054
brugte	man	0.040541
brugte	en	0.040541
bryder	sig	0.142857
bryder	sammen	0.122449
bryder	med	0.122449
bryder	mig	0.102041
bryder	reglerne	0.061224
bryder	i	0.061224
brændstof	til	0.125000
brændstof	og	0.125000
brødre	og	0.250000
brødre	som	0.150000
brødrene	som	0.272727
bund	og	0.500000
bund	i	0.166667
bus	med	0.138889
bus	fra	0.111111
bus	til	0.083333
bus	og	0.083333
byder	på	0.465909
byder	sig	0.045455
byder	også	0.045455
byder	nemlig	0.034091
byder	den	0.034091
byens	borgmester	0.193182
byens	borgere	0.090909
byens	centrum	0.079545
byens	børn	0.056818
byens	millioner	0.034091
bygger	på	0.452830
bygger	et	0.056604
båd	i	0.200000
båd	og	0.100000
bål	og	0.285714
bånd	til	0.285714
bærer	en	0.116279
bærer	rundt	0.093023
bærer	det	0.093023
bærer	et	0.093023
bærer	ansvaret	0.069767
bøde	på	0.397849
bøde	for	0.139785
bøde	og	0.107527
bøde	hvis	0.053763
bøde	eller	0.053763
bølge	af	0.482759
bølge	i	0.103448
børn	og	0.256348
børn	i	0.101572
børn	der	0.076179
børn	som	0.033857
børn	med	0.033857
børn	er	0.026602
børn	på	0.025393
børn	fra	0.022975
børn	til	0.021765
børn	under	0.020556
børn	kan	0.015719
børn	at	0.013301
børn	har	0.012092
børn	af	0.009674
børn	skal	0.009674
børn	blev	0.008464
børn	får	0.008464
børn	bliver	0.008464
børn	så	0.008464
børn	ikke	0.008464
børn	unge	0.008464
børn	mellem	0.007255
børn	siger	0.007255
børn	om	0.007255
børn	for	0.006046
børn	vil	0.004837
børn	ud	0.004837
børn	de	0.004837
børn	fortæller	0.003628
børn	ældre	0.003628
børn	skulle	0.003628
børn	men	0.003628
børn	begynder	0.003628
børn	efter	0.003628
børn	uanset	0.003628
børn	igen	0.003628
børn	var	0.003628
café	i	0.272727
caroline	graham	0.428571
celle	i	0.428571
center	for	0.652632
center	i	0.084211
center	på	0.042105
center	er	0.031579
center	hvor	0.031579
center	som	0.031579
centimeter	høj	0.170213
centimeter	i	0.106383
centimeter	og	0.106383
centimeter	lang	0.063830
centrum	af	0.280702
centrum	for	0.192982
centrum	i	0.105263
centrum	og	0.052632
chancer	for	0.361446
chancer	i	0.180723
chancer	men	0.096386
chancer	mod	0.048193
chancer	og	0.036145
check	på	0.291667
check	i	0.125000
chef	for	0.471429
chef	i	0.128571
chef	lars	0.057143
chef	hos	0.028571
chef	og	0.028571
chef	er	0.021429
chef	der	0.021429
chef	christine	0.021429
chefen	for	0.538462
chefen	til	0.076923
chokeret	over	0.333333
chokolade	og	0.500000
chris	rock	0.166667
chris	og	0.100000
cirka	kroner	0.087079
cirka	procent	0.081461
cirka	millioner	0.067416
cirka	en	0.044944
cirka	tre	0.042135
cirka	to	0.042135
cirka	kilometer	0.042135
cirka	et	0.036517
cirka	år	0.025281
cirka	milliarder	0.025281
cirka	fire	0.025281
cirka	meter	0.016854
cirka	fem	0.016854
cirka	ti	0.014045
cirka	seks	0.014045
cirka	hver	0.014045
cirka	personer	0.014045
cirka	halvdelen	0.014045
cirka	til	0.014045
cirka	gæster	0.011236
cirka	klokken	0.011236
cirka	medarbejdere	0.011236
cirka	kilo	0.011236
cirka	minutter	0.011236
cirka	soldater	0.011236
cirka	medlemmer	0.008427
cirka	gange	0.008427
cirka	borgere	0.008427
cirka	mennesker	0.008427
cirka	det	0.008427
cirka	otte	0.008427
cirka	én	0.008427
cirka	samme	0.008427
cirka	børn	0.008427
cirka	grader	0.008427
city	i	0.169811
city	fører	0.056604
city	og	0.056604
club	i	0.600000
college	i	0.461538
connie	og	0.625000
cv	et	0.476190
d	c	0.163636
d	i	0.054545
d	november	0.054545
da	han	0.155556
da	de	0.088172
da	hun	0.070251
da	det	0.068459
da	også	0.054122
da	den	0.046595
da	der	0.042294
da	jeg	0.034767
da	en	0.034050
da	vi	0.019355
da	politiet	0.012903
da	heller	0.011470
da	man	0.010394
da	et	0.010036
da	har	0.008602
da	tv	0.008244
da	holdet	0.007885
da	er	0.006093
da	hans	0.005735
da	danmark	0.005735
da	godt	0.005376
da	ikke	0.005018
da	flere	0.004659
da	rusland	0.004659
da	være	0.004659
da	hendes	0.003584
da	kvinden	0.002867
da	sagen	0.002509
da	ulykken	0.002509
da	mange	0.002509
da	du	0.002509
da	alle	0.002151
da	branden	0.002151
da	familien	0.002151
da	at	0.002151
da	regeringen	0.002151
da	krigen	0.002151
da	både	0.002151
da	skal	0.002151
da	betjentene	0.001792
dages	fængsel	0.178571
dages	varsel	0.107143
daglige	antal	0.103448
danner	ramme	0.166667
danny	skytte	0.500000
dans	og	0.363636
dans	på	0.181818
dansk	tid	0.120163
dansk	politik	0.079430
dansk	økonomi	0.050916
dansk	og	0.046843
dansk	tyske	0.044807
dansk	jord	0.044807
dansk	side	0.030550
dansk	metal	0.026477
dansk	fodbold	0.024440
dansk	grund	0.018330
dansk	sejr	0.018330
dansk	mand	0.018330
dansk	film	0.016293
dansk	selskab	0.014257
dansk	politi	0.012220
dansk	rekord	0.010183
dansk	lov	0.008147
dansk	succes	0.008147
dansk	kultur	0.008147
dansk	pas	0.008147
dansk	it	0.008147
dansk	musik	0.006110
dansk	af	0.006110
dansk	ekspert	0.006110
dansk	design	0.006110
dansk	psykiatrisk	0.006110
dansk	center	0.006110
dansk	undersøgelse	0.006110
dansk	studie	0.006110
danske	bank	0.061159
danske	kroner	0.036481
danske	og	0.031116
danske	soldater	0.025751
danske	forsvar	0.024678
danske	mestre	0.023605
danske	spillere	0.023605
danske	myndigheder	0.022532
danske	stat	0.022532
danske	spil	0.020386
danske	hold	0.019313
danske	børn	0.017167
danske	film	0.016094
danske	hjem	0.013948
danske	fans	0.012876
danske	politikere	0.011803
danske	it	0.011803
danske	samfund	0.011803
danske	veje	0.010730
danske	banks	0.010730
danske	ambassade	0.010730
danske	marked	0.009657
danske	regering	0.009657
danske	navne	0.008584
danske	skoler	0.007511
danske	kvinder	0.007511
danske	natur	0.007511
danske	rekord	0.007511
danske	model	0.007511
danske	sejr	0.006438
danske	i	0.006438
danske	angriber	0.006438
danske	del	0.006438
danske	bidrag	0.006438
danske	jonas	0.006438
danske	regler	0.005365
danske	grand	0.005365
danske	selskab	0.005365
danske	rødder	0.005365
danske	afdeling	0.005365
data	fra	0.188679
data	der	0.084906
data	til	0.066038
data	om	0.066038
data	og	0.066038
data	i	0.047170
data	som	0.047170
data	på	0.028302
data	kan	0.028302
data	for	0.028302
data	de	0.028302
dem	der	0.221537
dem	er	0.068424
dem	til	0.044307
dem	i	0.039260
dem	som	0.038699
dem	og	0.037016
dem	med	0.026360
dem	at	0.025799
dem	på	0.025238
dem	har	0.023556
dem	siger	0.019630
dem	om	0.015143
dem	alle	0.014582
dem	så	0.011778
dem	for	0.011217
dem	var	0.009534
dem	selv	0.009534
dem	en	0.009534
dem	vi	0.008974
dem	kan	0.008974
dem	ud	0.008974
dem	hvis	0.008413
dem	men	0.007291
dem	havde	0.006169
dem	skal	0.006169
dem	ikke	0.006169
dem	et	0.005609
dem	de	0.005609
dem	op	0.005048
dem	bliver	0.005048
dem	fortæller	0.005048
dem	også	0.004487
dem	vil	0.004487
dem	blev	0.004487
dem	fra	0.004487
dem	det	0.003926
dem	man	0.003926
dem	eller	0.003926
dem	fordi	0.003926
dem	mere	0.003365
demokrati	og	0.275862
demokrati	er	0.103448
demonstration	i	0.269231
demonstration	mod	0.153846
demonstration	af	0.115385
der	er	0.228967
der	har	0.061846
der	skal	0.038681
der	var	0.038110
der	ikke	0.037319
der	i	0.029275
der	kan	0.026901
der	bliver	0.018989
der	blev	0.018681
der	også	0.016967
der	kommer	0.013275
der	vil	0.011341
der	står	0.008615
der	nu	0.008352
der	skulle	0.007604
der	ligger	0.006374
der	en	0.006198
der	havde	0.005670
der	ifølge	0.005495
der	på	0.005187
der	gør	0.005099
der	blandt	0.005099
der	for	0.004923
der	sker	0.004835
der	stadig	0.004703
der	med	0.004571
der	lige	0.004440
der	går	0.004396
der	kunne	0.004308
der	været	0.004220
der	dog	0.004088
der	kun	0.004044
der	bor	0.003824
der	være	0.003824
der	findes	0.003692
der	ingen	0.003385
der	får	0.003209
der	fik	0.003165
der	kom	0.002901
der	giver	0.002813
derek	beach	1.000000
deres	egen	0.026942
deres	børn	0.026316
deres	egne	0.020677
deres	hjem	0.020677
deres	arbejde	0.018797
deres	liv	0.018170
deres	eget	0.016917
deres	forældre	0.015038
deres	første	0.011905
deres	nye	0.010025
deres	familier	0.009398
deres	hjemmeside	0.009398
deres	fælles	0.008772
deres	kryds	0.008772
deres	bedste	0.007519
deres	historie	0.006892
deres	biler	0.006892
deres	far	0.006892
deres	sag	0.006266
deres	bolig	0.006266
deres	to	0.005639
deres	medarbejdere	0.005639
deres	hus	0.005639
deres	land	0.005013
deres	job	0.005013
deres	varer	0.004386
deres	mål	0.004386
deres	bil	0.004386
deres	tur	0.004386
deres	mor	0.004386
deres	bud	0.004386
deres	danske	0.004386
deres	mødre	0.004386
deres	private	0.004386
deres	penge	0.004386
deres	tidligere	0.004386
deres	oplevelser	0.004386
deres	støtte	0.004386
deres	løn	0.004386
deres	militære	0.003759
derhjemme	og	0.225806
derinde	siger	0.375000
dertil	kommer	0.294872
dertil	er	0.076923
dertil	skal	0.064103
dertil	at	0.064103
dertil	var	0.038462
dertil	vil	0.038462
dertil	hvor	0.038462
desto	mindre	0.783333
desto	mere	0.050000
desuden	at	0.154728
desuden	er	0.085960
desuden	har	0.080229
desuden	skal	0.057307
desuden	en	0.031519
desuden	var	0.020057
desuden	vil	0.020057
desuden	i	0.017192
desuden	på	0.014327
desuden	blev	0.014327
desuden	blevet	0.011461
desuden	tiltalt	0.011461
desuden	været	0.011461
desuden	kan	0.011461
desuden	med	0.011461
desuden	af	0.008596
desuden	for	0.008596
desuden	kunne	0.008596
desuden	et	0.008596
desuden	får	0.008596
desuden	havde	0.008596
desuden	også	0.008596
desværre	ikke	0.226415
desværre	er	0.113208
desværre	for	0.056604
desværre	har	0.050314
desværre	at	0.037736
desværre	også	0.031447
desværre	på	0.018868
desværre	nok	0.018868
desværre	uden	0.018868
desværre	været	0.018868
desværre	endnu	0.018868
desværre	gået	0.018868
din	egen	0.050279
din	telefon	0.039106
din	bil	0.033520
din	nye	0.022346
din	stemme	0.022346
din	viden	0.022346
din	mor	0.022346
din	lejlighed	0.016760
din	rolle	0.016760
din	mening	0.016760
din	bolig	0.016760
din	kandidat	0.016760
din	sag	0.016760
din	familie	0.016760
diskuterer	hvordan	0.250000
dit	barn	0.086420
dit	kryds	0.074074
dit	liv	0.074074
dit	hjem	0.061728
