# Trilateral root → common surface forms (UTF-8, one root per line)
# Format: root<TAB>word1,word2,word3,...
فشل	فشل,فاشل,يفشل,فشلت,نفشل,افشل
ساعد	ساعد,مساعد,يساعد,مساعدة,ساعدت,نساعد,ساعد
خدم	خدم,خادم,يخدم,خدمة,خدمت,نخدم,اخدم
باع	باع,بائع,يبيع,بيع,بعت,نبيع,بع
اشتر	اشترى,مشتري,يشترى,شراء,اشتريت,نشتري,اشتر
دفع	دفع,دافع,يدفع,دفعة,دفعت,ندفع,ادفع
ربح	ربح,رابح,يربح,ربحت,نربح,اربح
خسر	خسر,خاسر,يخسر,خسارة,خسرت,نخسر,اخسر
بنى	بنى,باني,يبني,بناء,بنيت,نبني,ابن
هدم	هدم,هادم,يهدم,هدمت,نهدم,اهدم
صنع	صنع,صانع,يصنع,صناعة,صنعت,نصنع,اصنع
طبخ	طبخ,طاه,يطبخ,طبخة,طبخت,نطبخ,اطبخ
نظف	نظف,نظيف,ينظف,نظافة,نظفت,ننظف,انظف
لبس	لبس,لابس,يلبس,ملابس,لبست,نلبس,البس
خلع	خلع,خالع,يخلع,خلعت,نخلع,اخلع
هاتف	هاتف,اتصال,اتصل,يتصل,متصل,اتصلت,نتصل
رسال	رسالة,رسائل,مراسل,راسل,يراسل,راسلت,نراسل
بريد	بريد,إيميل,ايميل,ارسل,أرسل,يرسل,أرسلت
سفر	سفر,مسافر,يسافر,سفرة,سافرت,نسافر,سافر
عود	عاد,عائد,يعود,عودة,عدت,نعود,عد
وصل	وصل,واصل,يوصل,وصلة,وصلت,نوصل,وصل
بدء	بدأ,بادئ,يبدأ,بداية,بدأت,نبدأ,ابدأ
انته	انتهى,منته,ينتهي,نهاية,انتهيت,ننتهي,انته
استمر	استمر,مستمر,يستمر,استمرار,استمرت,نستمر,استمر
تغير	تغير,متغير,يتغير,تغيير,تغيرت,نتغير,غير
حاول	حاول,محاول,يحاول,محاولة,حاولت,نحاول,حاول
خطط	خطط,مخطط,يخطط,خطة,خططت,نخطط,خطط
قرر	قرر,مقرر,يقرر,قرار,قررت,نقرر,قرر
اتفق	اتفق,متفق,يتفق,اتفاق,اتفقنا,نتفق,اتفق
اختل	اختلف,مختلف,يختلف,اختلاف,اختلفنا,نختلف,اختلف
سامح	سامح,سامح,يسامح,مسامحة,سامحت,نسامح,سامح
اعتذر	اعتذر,معتذر,يعتذر,اعتذار,اعتذرت,نعتذر,اعتذر
رحب	رحب,مرحب,يرحب,ترحيب,رحبت,نرحب,رحب
ودع	ودع,وادع,يودع,وداع,ودعت,نودع,ودع
هلا	مرحبا,أهلا,اهلا,سلام,السلام,تحية,تحيات
